Minuto_Inicio,Hora_Inicio,Intervalo,Modo,Celda_Origen,Cantidad_Viajes
360,06:00,60 min,Auto,64,1
360,06:00,60 min,Auto,344,1
360,06:00,60 min,Auto,778,1
360,06:00,60 min,Auto,844,1
360,06:00,60 min,Auto,895,1
360,06:00,60 min,Metro,56,1
360,06:00,60 min,Metro,469,1
360,06:00,60 min,Metro,972,1
360,06:00,60 min,Bici,451,1
360,06:00,60 min,Bici,968,1
420,07:00,60 min,Auto,43,1
420,07:00,60 min,Auto,53,1
420,07:00,60 min,Auto,117,1
420,07:00,60 min,Auto,132,1
420,07:00,60 min,Auto,147,1
420,07:00,60 min,Auto,172,1
420,07:00,60 min,Auto,231,1
420,07:00,60 min,Auto,297,1
420,07:00,60 min,Auto,412,1
420,07:00,60 min,Auto,454,1
420,07:00,60 min,Auto,600,1
420,07:00,60 min,Auto,628,1
420,07:00,60 min,Auto,645,1
420,07:00,60 min,Auto,686,1
420,07:00,60 min,Auto,687,1
420,07:00,60 min,Auto,705,1
420,07:00,60 min,Auto,707,1
420,07:00,60 min,Auto,708,1
420,07:00,60 min,Auto,716,1
420,07:00,60 min,Auto,723,1
420,07:00,60 min,Auto,772,1
420,07:00,60 min,Auto,800,1
420,07:00,60 min,Auto,814,1
420,07:00,60 min,Auto,853,1
420,07:00,60 min,Auto,856,1
420,07:00,60 min,Auto,861,1
420,07:00,60 min,Auto,880,1
420,07:00,60 min,Auto,902,1
420,07:00,60 min,Auto,917,1
420,07:00,60 min,Auto,926,1
420,07:00,60 min,Auto,969,1
420,07:00,60 min,Auto,970,1
420,07:00,60 min,Metro,0,1
420,07:00,60 min,Metro,3,1
420,07:00,60 min,Metro,4,1
420,07:00,60 min,Metro,6,1
420,07:00,60 min,Metro,29,1
420,07:00,60 min,Metro,35,1
420,07:00,60 min,Metro,45,1
420,07:00,60 min,Metro,46,1
420,07:00,60 min,Metro,65,1
420,07:00,60 min,Metro,66,1
420,07:00,60 min,Metro,73,1
