Minuto,Hora,Modo,Celda,Cantidad
360,06:00,Auto,64,1
360,06:00,Auto,344,1
360,06:00,Auto,778,1
360,06:00,Auto,844,1
360,06:00,Auto,895,1
360,06:00,Metro,56,1
360,06:00,Metro,469,1
360,06:00,Metro,972,1
360,06:00,Bici,451,1
360,06:00,Bici,968,1
420,07:00,Auto,43,1
420,07:00,Auto,53,1
420,07:00,Auto,117,1
420,07:00,Auto,132,1
420,07:00,Auto,147,1
420,07:00,Auto,172,1
420,07:00,Auto,231,1
420,07:00,Auto,297,1
420,07:00,Auto,412,1
420,07:00,Auto,454,1
420,07:00,Auto,600,1
420,07:00,Auto,628,1
420,07:00,Auto,645,1
420,07:00,Auto,686,1
420,07:00,Auto,687,1
420,07:00,Auto,705,1
420,07:00,Auto,707,1
420,07:00,Auto,708,1
420,07:00,Auto,716,1
420,07:00,Auto,723,1
420,07:00,Auto,772,1
420,07:00,Auto,800,1
420,07:00,Auto,814,1
420,07:00,Auto,853,1
420,07:00,Auto,856,1
420,07:00,Auto,861,1
420,07:00,Auto,880,1
420,07:00,Auto,902,1
420,07:00,Auto,917,1
420,07:00,Auto,926,1
420,07:00,Auto,969,1
420,07:00,Auto,970,1
420,07:00,Metro,0,1
420,07:00,Metro,3,1
420,07:00,Metro,4,1
420,07:00,Metro,6,1
420,07:00,Metro,29,1
420,07:00,Metro,35,1
420,07:00,Metro,45,1
420,07:00,Metro,46,1
420,07:00,Metro,65,1
420,07:00,Metro,66,1
420,07:00,Metro,73,1
420,07:00,Metro,87,1
420,07:00,Metro,89,1
420,07:00,Metro,92,1
420,07:00,Metro,100,1
420,07:00,Metro,102,1
420,07:00,Metro,110,1
420,07:00,Metro,112,1
420,07:00,Metro,121,1
420,07:00,Metro,122,1
420,07:00,Metro,140,1
420,07:00,Metro,149,1
420,07:00,Metro,155,1
420,07:00,Metro,158,1
420,07:00,Metro,159,1
420,07:00,Metro,163,1
420,07:00,Metro,169,1
420,07:00,Metro,170,1
420,07:00,Metro,173,1
420,07:00,Metro,176,1
420,07:00,Metro,193,1
420,07:00,Metro,194,1
420,07:00,Metro,208,1
420,07:00,Metro,212,1
420,07:00,Metro,217,1
420,07:00,Metro,223,1
420,07:00,Metro,226,1
420,07:00,Metro,228,1
420,07:00,Metro,229,1
